iter	RMSE
0	13.91510408
1	13.09621815
2	12.28215107
3	11.58046986
4	10.98190523
5	10.37886431
6	9.877151541
7	9.414898753
8	8.963045997
9	8.553958674
10	8.215833428
11	7.897274095
12	7.616118766
13	7.407208381
14	7.174825768
15	6.958493433
16	6.782126566
17	6.622531009
18	6.504919721
19	6.375707114
20	6.265482698
21	6.164153537
22	6.074361373
23	5.99025238
24	5.919603678
25	5.869346808
26	5.813578351
27	5.766177285
28	5.708605513
29	5.669362935
30	5.626922388
31	5.581326256
32	5.548583645
33	5.513341893
34	5.487980375
35	5.449138846
36	5.424479439
37	5.398330122
38	5.375556299
39	5.348457859
40	5.324765655
41	5.308104735
42	5.291686111
43	5.275921993
44	5.253591501
45	5.233133561
46	5.216014191
47	5.203499544
48	5.189010365
49	5.175255469
50	5.159731614
51	5.139076885
52	5.130104897
53	5.114601139
54	5.10538751
55	5.092091259
56	5.071352453
57	5.062701183
58	5.054122322
59	5.050195935
60	5.039809494
61	5.025008798
62	5.017618917
63	5.010858086
64	5.004800173
65	4.993504327
66	4.990831245
67	4.975566144
68	4.966557737
69	4.954104998
70	4.945032601
71	4.928946144
72	4.915366159
73	4.907700434
74	4.892333178
75	4.882969617
76	4.869768862
77	4.857701287
78	4.842927404
79	4.833442137
80	4.826354602
81	4.820206855
82	4.809916909
83	4.801270366
84	4.791400756
85	4.789602007
86	4.782796185
87	4.774603211
88	4.768371749
89	4.765316907
90	4.762006961
91	4.748692232
92	4.739678158
93	4.725693317
94	4.719391278
95	4.708754463
96	4.706723863
97	4.692746586
98	4.679443185
99	4.672641846
