iter	Passed	Remaining
0	0	94
1	1	72
2	2	70
3	2	65
4	3	63
5	3	62
6	4	61
7	5	60
8	5	60
9	6	61
10	7	61
11	8	61
12	9	61
13	9	60
14	10	60
15	11	60
16	12	59
17	13	59
18	13	58
19	14	58
20	16	60
21	17	60
22	17	60
23	18	59
24	19	58
25	20	57
26	21	57
27	22	56
28	22	56
29	23	55
30	24	54
31	25	54
32	26	53
33	27	53
34	28	52
35	29	51
36	30	51
37	30	50
38	31	49
39	32	49
40	33	48
41	34	47
42	35	46
43	36	45
44	36	45
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	42	40
51	43	39
52	43	39
53	44	38
54	45	37
55	46	36
56	47	35
57	48	34
58	49	34
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	53	29
65	54	28
66	55	27
67	55	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	14
83	69	13
84	70	12
85	71	11
86	72	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
